序号	准备时间	角色ID	角色名称
1	5	3003	飞行恶魔
2	4	2002	荷叶帽
3	7	3002	飞球
4	5	3003	飞行恶魔
5	8	1002	蓝帽子
6	4	2002	荷叶帽
7	6	1003	近战恶魔
8	8	2003	远程恶魔
9	7	2001	奶嘴
10	6	3002	飞球
11	4	2002	荷叶帽
12	7	1002	蓝帽子
13	7	3001	黄帽子
14	5	1003	近战恶魔
15	6	2001	奶嘴
16	4	3003	飞行恶魔
17	5	3002	飞球
18	7	2003	远程恶魔
19	6	1002	蓝帽子
20	8	1001	绿巨人
21	5	1003	近战恶魔
22	4	3003	飞行恶魔
23	6	2001	奶嘴
24	4	2002	荷叶帽
25	7	3001	黄帽子
26	8	1001	绿巨人
27	5	1003	近战恶魔
28	7	2003	远程恶魔
29	6	2001	奶嘴
30	4	3003	飞行恶魔
31	5	1003	近战恶魔
32	8	1001	绿巨人
33	7	3001	黄帽子
34	6	1002	蓝帽子
35	7	2003	远程恶魔
36	6	2001	奶嘴
37	4	2002	荷叶帽
38	5	3002	飞球
39	6	1002	蓝帽子
40	7	3001	黄帽子
41	8	1001	绿巨人
42	5	3002	飞球
43	6	2001	奶嘴
44	7	3001	黄帽子
45	8	1001	绿巨人
46	8	1001	绿巨人
47	8	1001	绿巨人
48	8	1001	绿巨人
49	8	1001	绿巨人
50	8	1001	绿巨人
