技能ID	名称	敌友	目标	弹道	弹道参数	伤害系数	冷却时间	关联属性	附加特效	特效系数	特效参数	技能描述	资源名称	资源帧数
101	强力一击	1	1	1	0,0,0	8	5	攻击频率	0	0	0,0,0	对单个目标造成 攻击力*800% 的伤害,冷却时间5秒	B1	16
201	召唤闪电	1	3	6	3,5,3	5	10	攻击频率	0	0	0,0,0	对目标及周围的所有敌人造成 攻击力*500% 的伤害,冷却时间10秒	B2	13
401	寒冰地狱	1	1	4	0,6	2	15	攻击频率	2	0	2,0,0	对目标及周围的所有敌人造成 攻击力*200% 的伤害,并冻结2秒,冷却时间15秒	C1	5
501	强力护盾	2	1	3	0,0,0	0	10	血量上限	5	10000	5,1,0	"自身不会受到伤害,持续5秒"	A2	8
601	守护之光	2	3	3	5,0,0	0	10	血量上限	3	2	5,1,0	"使周围的友军获得一个能吸收100%伤害的护盾,持续5秒,护盾的血量取决于施法者的血量上限"	A1	5
602	潜能激发	2	3	3	4,0,0	0	16	0	2	0	8,3,2	"使周围的友军移动速度提升至300%,攻击速度提升至200%,持续8秒"	C2	4
1101	普攻101	1	1	1	0,0,0	1	0	0	0	0	0	兵种101的普通攻击	Bullet	1
1102	普攻102	1	1	1	3,0,0	1	0	0	0	0	0	兵种102的普通攻击	Bullet	1
1201	普攻201	1	3	2	0,5	1	0	0	0	0	0	兵种201的普通攻击	Bullet	1
1202	普攻202	1	3	4	0,10	1	0	0	0	0	0	兵种202的普通攻击	Bullet1	1
1301	普攻301	1	2	5	0,5,3	1	0	0	0	0	0	兵种301的普通攻击	Bullet	1
1302	普攻302	1	2	2	0,4,0	1	0	0	0	0	0	兵种302的普通攻击	Bullet	1
