序号	准备时间	角色ID	角色名称
1	7	2002	荷叶帽
2	9	1003	近战恶魔
3	6	3003	飞行恶魔
4	6	2002	荷叶帽
5	9	3002	飞球
6	6	3003	飞行恶魔
7	12	1002	蓝帽子
8	9	1003	近战恶魔
9	9	3002	飞球
10	6	2002	荷叶帽
11	12	2001	奶嘴
12	12	1002	蓝帽子
13	12	2001	奶嘴
14	9	1003	近战恶魔
15	15	2003	远程恶魔
16	12	1002	蓝帽子
17	15	3001	黄帽子
18	15	2003	远程恶魔
19	9	3002	飞球
20	15	3001	黄帽子
21	9	1003	近战恶魔
22	12	2001	奶嘴
23	15	2003	远程恶魔
24	12	1002	蓝帽子
25	9	3002	飞球
26	15	3001	黄帽子
27	12	2001	奶嘴
28	15	2003	远程恶魔
29	12	1002	蓝帽子
30	9	1003	近战恶魔
31	12	2001	奶嘴
32	9	3002	飞球
33	15	3001	黄帽子
34	12	1002	蓝帽子
35	15	2003	远程恶魔
36	12	2001	奶嘴
37	9	1003	近战恶魔
38	15	3001	黄帽子
39	12	1002	蓝帽子
40	12	2001	奶嘴
41	9	3002	飞球
42	15	2003	远程恶魔
43	9	1003	近战恶魔
44	12	1002	蓝帽子
45	12	2001	奶嘴
46	15	3001	黄帽子
47	15	2003	远程恶魔
48	15	3001	黄帽子
49	15	2003	远程恶魔
50	15	3001	黄帽子
